Artista,Nombre_Agencia_o_Manager,Correo,Fuente_URL,Confianza,Notas
Jay Maya / Maya y Riv / DJ Boybeck,Maya Entertainment (Bogota CO),booking@mayaentertainment.co,https://mayaeventos.com/contacto.html,Alta,Correo booking explicito. Tambien aparece legal@mayaentertainment.co
J Balvin / Karol G (booking) / Paola Jara,Pablo Ramirez Company (Colombia),booking@pabloramirezcompany.com,https://www.pabloramirezcompany.com/en,Alta,Tambien manager@pabloramirezcompany.com
Maluma / J Balvin / Farruko / Wisin,NR Artistas (Mexico),contacto@nrartistas.com,https://nrartistas.com/,Media,Correo general
Myke Towers / Anuel AA / Ozuna / Jhayco,Madmusic (Madrid ES),INFO@MADMUSIC.ES,https://madmusic.es/,Media,Correo general; 25 anos con artistas latinos
Jon Z / Luar La L / Ovi / NTG,Fran Guerrero Entertainment (ES),fran@guerreroentertainment.com,https://www.franguerreroentertainment.com/,Alta,Booking urbano/trap latino
Natos y Waor (urbano),Taste The Floor (ES),info@tastethefloor.es,https://tastethefloor.es/,Media,Booking y management urbano
Trueno / Dillom / Cazzu / Duki,Ramasso Productora (Argentina),contrataciones@robertoramasso.com.ar,https://robertoramasso.com/contrataciones/contratar-musicos/trap/,Alta,Correo de contrataciones
Roster urbano (reggaeton/trap),Expresion Urbana (Peru),contrataciones@expresionurbanaeventos.com,https://expresionurbanaeventos.com/contacto,Alta,Booking y management reggaeton/trap
Bachata/merengue: Robert Liriano / Raffy Diaz,Zurdo Group (Rep. Dominicana),zurdogroupsrl@gmail.com,https://zurdogroup.com/,Media,Gmail; agencia boutique booking/management
Nuel / Yoseff / Hezzer,XDIEZ Agency (ES),somos@xdiezagency.com,https://www.xdiezagency.com/,Media,DJs y artistas urbanos
Roster general (Chile),Manager & Booking (Chile),mauricio@managerybooking.cl,https://managerybooking.wixsite.com/managerybooking/contacto,Media,Correo de contacto personal; roster no publicado
Roster reggaeton/salsa/bachata,Musica Viva - Agencia Booking Artistas (ES),musicavivavalencia@gmail.com,https://agenciabookingartistas.com/,Media,Gmail
Fangoria / Lori Meyers / Kiko Veneno,Spanish Bombs Management (ES),spanishbombs@spanishbombs.com,https://spanishbombs.com/agencia-de-management-musical/,Media,Indie/pop; tambien angeles@ y chus@spanishbombs.com
